Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
68,25,s_curve|K20|Gen11,s_curve,,20.0,0.0,20.0,0.0,0.0,0.0,,,,105.89798553745925,85.52751063908819,20.370474898371054,1.0,0.0,,,0.14486800863466023,,1,,
69,26,s_curve|Gen11,s_curve,,,0.0,,0.0,,95.0,,,,,82.58609056653928,,,0.0,,,0.582957142369035,,1,,
70,34,corridor|af|K5|bbunet|@EPlatest_u7hg,corridor,af,5.0,0.0,11.857142857142858,0.0,0.0,100.0,100.0,0.0,100.0,568.1126607110838,53.56599611830327,514.5466645927805,1.0,0.0,0.2916550140364396,254.52142857142852,0.539576616333935,,1,,20260911_224040
71,38,corridor|diffusion|K20|@u17cv2,corridor,diffusion,20.0,0.0,20.0,0.0,0.0,25.0,25.0,75.0,100.0,526.8835112780528,178.49542014852912,348.3880911295237,1.0,0.0,0.6980972736319044,263.75,0.3766940947005636,,1,,20260913_211122
72,40,corridor|fm|K1,corridor,fm,1.0,1.0,1.9130434782608696,0.0,0.0,3.043478260869565,3.91304347826087,0.0,3.91304347826087,187.40568877927802,10.709763814246143,176.6959249650319,0.6210406243093762,0.0,14.986938250505899,270.6,65.98044891319775,,1,,20260819_144356
73,41,corridor|fm|K1|@u17cv2,corridor,fm,1.0,0.0,1.0,0.0,0.0,72.91666666666666,100.0,0.0,100.0,24.040549879686004,8.964158107126801,15.076391772559202,0.1502288171347175,0.0,0.3170086313979672,288.2857142857143,0.4567607968029067,FRONT,1,,20260913_170328
74,45,corridor|fm|K3|@u17cv2,corridor,fm,3.0,0.0,7.444444444444445,0.0,0.0,40.74074074074074,100.0,0.0,100.0,70.7580587258064,31.53603920815814,39.22201951764827,0.8911616055226624,0.0,0.3737499072741723,284.98148148148147,0.4177726878440886,,1,,20260918_133628
75,47,corridor|fm|K5|@u17cv2,corridor,fm,5.0,0.0,12.88888888888889,0.0,0.0,40.74074074074074,100.0,2.7777777777777777,100.0,106.0811584922204,51.77723191964379,54.30392657257661,1.0,0.0,0.39093131350225174,287.4166666666667,0.41657666581643327,,1,,20260918_152727
76,48,corridor|fm|K5|@u7hg,corridor,fm,5.0,0.0,11.857142857142858,0.0,0.0,100.0,100.0,0.0,100.0,331.0614928561454,51.559937697024715,279.50155515912064,1.0,0.0,0.2911578245687738,256.4857142857143,0.5343339341517855,,1,,20260912_012710
77,58,corridor|mf|K3|bbunet|dp0.5|@u7hg(debugging_with_demo_gif),corridor,mf,3.0,0.0,3.0,0.0,0.0,75.0,100.0,0.0,100.0,118.31112922340697,27.266925384165198,91.04420383924177,0.5064615111256903,0.0,0.33314745596354095,282.25,0.48857823180990484,,1,,20260913_130134
78,60,corridor|mf|K5|bbunet|dp0.5|@u17cv2,corridor,mf,5.0,0.0,12.88888888888889,0.0,0.0,29.629629629629626,100.0,39.81481481481482,100.0,117.00788520859538,55.0042403653742,62.00364484322117,1.0,0.0,0.4415272709335009,296.56944444444446,0.4008140897334615,,1,,20260918_164517
79,62,pillars|af|K1|bbunet|@EPlatest_u6unet_ae02,pillars,af,1.0,0.0,1.0,0.0,0.0,11.000000000000002,50.0,0.0,50.0,69.21303558052372,9.3302741837672,59.88276139675651,0.2958922992087298,0.0,0.5086113571320671,507.01179138322,0.4124729048345962,,1,,20260905_015012
80,64,pillars|af|K1|bbunet|@EPlatest_u7xl,pillars,af,1.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,100.0,121.02917917207078,9.417162870433401,111.61201630163738,0.47602523659306,0.0,0.8466246406006194,,0.35991418484788,,1,,20260919_222021
81,65,pillars|af|K2|bbunet|@EPlatest_u6unet_ae02,pillars,af,2.0,0.0,2.0,0.0,0.0,13.999999999999998,47.0,0.0,47.0,79.31392215285999,18.07837507979969,61.23554707306031,0.5895734473006233,0.0,0.5466726879073772,479.758024691358,0.43673864081104286,,1,,20260905_025928
82,68,pillars|af|K2|bbunet|@EPlatest_u7xl,pillars,af,2.0,0.0,2.0,0.0,0.0,2.857142857142857,100.0,0.0,100.0,103.34316474628035,18.188964624075115,85.15420012220525,0.857165389815232,0.0,0.7856982982314786,440.5,0.3531102043231352,,1,,20260919_235429
83,70,pillars|af|K5|bbunet|@EPlatest_u7xl,pillars,af,5.0,0.0,11.454545454545455,0.0,0.0,0.9090909090909092,67.27272727272727,0.0,67.27272727272727,1653.1347060463283,52.96925711517183,1600.165448931157,0.9723544594207055,0.0,1.7211461666940933,513.25,0.36639143276649455,,1,,20260921_203349
