[2026-04-23T13:40:29.129502] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.193805] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.359647] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.459783] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.518468] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.574344] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.632549] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.692851] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.761101] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.830650] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.901626] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.002421] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.163684] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.232264] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.295123] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.358871] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.417645] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.491333] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.565292] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.629660] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.702677] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.772377] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:30.945459] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.016031] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.083038] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.140632] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.198411] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.255696] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.325792] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.395143] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.464395] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.549232] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.711198] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.783917] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.853302] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.912568] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:31.972960] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.035462] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.110326] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.177242] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.244595] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.312938] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.476471] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.554286] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.628737] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.688693] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.748914] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.806135] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.875324] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:32.943733] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.012608] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.086163] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.247731] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.319999] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.399136] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.463935] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.522117] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.578631] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.661607] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.738294] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.805858] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:33.875559] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:34.037586] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:34.108605] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:34.175623] loop_idx=2, backend=torchdiffeq, method=rk4
