seed,variant,constraint_type,halfspace_variant,metric,value,Candidate,Folder_Name
6,dpcc-c-tightened,halfspace,both-hard,total_violations_std,2.019107341391657e-09,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,avg_time,0.3076344880716706,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,avg_time_std,0.0018293352114895634,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_steps,60.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_steps_std,6.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,total_violations,4.0858983982663966e-08,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,total_violations_std,3.6731362344083474e-09,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,avg_time,0.3130207184187892,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,avg_time_std,0.0218986836748091,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-right-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_success_and_constraints,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_steps,91.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_steps_std,5.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_violations,4.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,n_violations_std,3.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,total_violations,0.028954838976263983,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,total_violations_std,0.010199906721711158,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,avg_time,0.26068472106289275,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,avg_time_std,0.013599413143190867,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,collision_free_completed,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,top-left-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,both-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,both-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,both-hard,n_success_and_constraints,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,both-hard,n_success_and_constraints_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-t,halfspace,both-hard,n_steps,85.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
