Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness,Latest_Snapshot
120,145,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333333,,0.9243913271219681,,41.10902431819271,20260801_020939
121,153,H16_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgr8,64.58333333333333,,0.1644092303035146,,1.2492704928178815,20260817_151158
122,20,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,63.88888888888889,,0.37883236372382867,,1.7255338258154729,20260724_030710
123,105,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.6384359424032199,,1.9595846239101324,20260617_121218
124,122,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.0317856329120872,,1.076349751568058,20260716_214045
125,8,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,63.33333333333333,,0.29867651375087007,,1.8607837442932074,20260506_034806
126,46,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msg20trials,63.041666666666664,,0.025101535359020183,,12.023511215618047,20260816_065129
127,34,H8_K20_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,62.5,,0.9365117654010434,,32.135258568320715,20260730_235852
128,3,(old_no_mpc_traj)H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,61.61616161616163,,8.094547430308419,,2.0408155975726667,20260625_052023
129,125,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,61.111111111111114,,0.3766862058524654,,1.693321451337609,20260718_212748
130,124,H8_K50_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,61.11111111111111,,2.826400634090572,,0.8651696003916114,20260716_004756
131,188,H8_K20_Meuler_T0.05_Dmodels.diffusion.FlowMatchingODE,61.11111111111111,,0.17855297133387338,,0.9386060930348551,20260804_081544
132,151,H16_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgr8,60.41666666666667,,0.011643623799337456,,2.012495726006993,20260817_150007
133,160,H8_K10_Meuler_T0.5_A0.1_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,60.416666666666664,,0.29091963996111414,,5.00511495688925,20260811_232700
134,164,H8_K10_Meuler_T0.5_A0_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,60.416666666666664,,0.29037995296890673,,5.005109774540849,20260811_230955
135,157,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,58.75,,0.03165389262267613,,3.9004125424018175,20260812_111908
136,12,H8_K20_T0.5_Dmodels.GaussianDiffusion_msgmpc1,58.333333333333336,,0.2760416532452741,,2.0851842083456424,20260827_165120
137,68,H8_K10_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,58.333333333333336,,0.17482318375552167,,1.9677301933681186,20260521_202300
